step=288 time=0.379855s cnt=29128 avg=13.040888
step=289 time=0.441532s cnt=29027 avg=15.211079
step=290 time=0.445009s cnt=28927 avg=15.383863
step=291 time=0.374631s cnt=28827 avg=12.995837
step=292 time=0.351148s cnt=28729 avg=12.222771
step=293 time=0.485862s cnt=28631 avg=16.969788
step=294 time=0.397339s cnt=28533 avg=13.925595
step=295 time=0.482311s cnt=28436 avg=16.961281
step=296 time=0.424152s cnt=28340 avg=14.966549
step=297 time=0.443333s cnt=28245 avg=15.695982
step=298 time=0.464076s cnt=28150 avg=16.485826
step=299 time=0.739027s cnt=28056 avg=26.341139
step=300 time=0.345274s cnt=27963 avg=12.347531
step=301 time=0.374318s cnt=27870 avg=13.430858
step=302 time=0.523035s cnt=27777 avg=18.829787
step=303 time=0.451247s cnt=27686 avg=16.298743
step=304 time=0.464154s cnt=27595 avg=16.820221
step=305 time=0.454725s cnt=27504 avg=16.533050
step=306 time=0.459982s cnt=27414 avg=16.779091
step=307 time=0.430684s cnt=27325 avg=15.761537
step=308 time=0.403307s cnt=27236 avg=14.807865
step=309 time=0.398909s cnt=27148 avg=14.693863
step=310 time=0.457457s cnt=27061 avg=16.904660
step=311 time=0.339672s cnt=26974 avg=12.592571
step=312 time=0.377573s cnt=26887 avg=14.042958
step=313 time=0.312210s cnt=26801 avg=11.649192
step=314 time=0.322528s cnt=26716 avg=12.072466
step=315 time=0.319407s cnt=26631 avg=11.993804
step=316 time=0.260848s cnt=26547 avg=9.825894
step=317 time=0.275430s cnt=26463 avg=10.408117
step=318 time=0.274336s cnt=26380 avg=10.399393
step=319 time=0.243595s cnt=26297 avg=9.263224
step=320 time=0.435942s cnt=26215 avg=16.629487
step=321 time=0.359001s cnt=26133 avg=13.737458
step=322 time=0.415928s cnt=26052 avg=15.965300
step=323 time=0.407647s cnt=25971 avg=15.696238
step=324 time=0.392353s cnt=25891 avg=15.154030
step=325 time=0.429298s cnt=25812 avg=16.631722
step=326 time=0.383612s cnt=25732 avg=14.907975
step=327 time=0.424420s cnt=25654 avg=16.544009
step=328 time=0.323742s cnt=25576 avg=12.658039
step=329 time=0.394366s cnt=25498 avg=15.466546
